Peak value tool,Peak value screw,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Maximum injection pressure,Switch-over pressure,Peak value of mould,Peak value of ejector,Cycle time,Dosing time,Injection time,Mould protection time,Temperature of feed yoke,Material cushion,Switch-over volume,Cylinder heating zone 5,ground_truth
800.675,119.909,215.1,215.1,220.3,224.8,2173.779,1733.622,3.324,0.154,24.338,2.054,0.452,0.654,43.7,28.664,44.999,230,1
801.044,119.909,215,215.1,220.3,224.8,2197.676,1732.65,3.564,0.154,24.34,2.042,0.454,0.658,44,28.389,44.979,229.8,1
801.044,119.909,215,215.1,220.3,224.8,2197.676,1732.65,3.564,0.154,24.34,2.042,0.454,0.658,44,28.389,44.979,229.8,1
800.86,119.909,214.6,215.1,220.1,225,2204.865,1744.793,3.24,0.142,24.34,2.068,0.454,0.654,44,28.522,44.974,229.8,1
800.86,119.909,214.6,215.1,220.1,225,2204.865,1744.793,3.24,0.142,24.34,2.068,0.454,0.654,44,28.522,44.974,229.8,1
801.229,119.909,215,215.1,220.1,225,2197.676,1733.233,3.144,0.15,24.352,2.078,0.454,0.654,44.2,28.863,44.948,229.8,0
801.044,119.909,215.3,215,220.1,225,2173.293,1723.325,2.83,0.146,24.336,2.096,0.45,0.656,44.4,29.342,44.984,229.8,0
801.044,119.909,215.3,215,220.1,225,2173.293,1723.325,2.83,0.146,24.336,2.096,0.45,0.656,44.4,29.342,44.984,229.8,1
801.044,119.909,215.3,215.1,220.1,225,2196.51,1733.428,2.894,0.148,24.34,2.026,0.454,0.656,44.5,28.812,44.989,229.8,1
801.044,119.909,215.3,215.1,220.1,225,2196.51,1733.428,2.894,0.148,24.34,2.026,0.454,0.656,44.5,28.812,44.989,229.8,0
801.229,119.909,215.1,215.1,220.1,225,2196.413,1746.445,3.83,0.146,24.34,2.058,0.454,0.658,44.7,28.781,44.979,229.8,1
801.229,119.909,215.1,215.1,220.1,225,2196.413,1746.445,3.83,0.146,24.34,2.058,0.454,0.658,44.7,28.781,44.979,229.8,1
801.044,119.909,215,215.1,220.1,225,2199.619,1727.307,3.09,0.146,24.34,2.078,0.454,0.658,44.9,28.939,44.994,229.8,1
801.413,119.909,215.1,214.8,220,225,2181.064,1719.05,3.234,0.152,24.338,2.082,0.452,0.654,45,29.164,44.974,229.8,1
801.413,119.909,215.1,214.8,220,225,2181.064,1719.05,3.234,0.152,24.338,2.082,0.452,0.654,45,29.164,44.974,229.8,0
801.229,119.909,215.3,215.1,220.1,225,2207.682,1724.685,3.016,0.144,24.346,2.072,0.454,0.656,45.2,29.357,44.979,229.8,1
801.229,119.909,215.3,215.1,220.1,225,2207.682,1724.685,3.016,0.144,24.346,2.072,0.454,0.656,45.2,29.357,44.979,229.8,0
801.598,119.909,215.1,215.1,220.1,224.8,2201.465,1705.159,3.702,0.154,24.502,2.084,0.454,0.658,45.2,29.628,44.948,229.8,1
801.229,119.909,214.6,215,220.1,225,2203.407,1724.005,2.96,0.15,24.34,2.054,0.454,0.658,45.5,29.337,44.989,229.8,1
801.229,119.909,214.6,215,220.1,225,2203.407,1724.005,2.96,0.15,24.34,2.054,0.454,0.658,45.5,29.337,44.989,229.8,1
801.229,119.909,214.6,214.8,220,224.8,2195.927,1718.273,2.802,0.148,24.34,2.082,0.454,0.658,45.5,29.536,44.964,230,1
801.229,119.909,214.6,214.8,220,224.8,2195.927,1718.273,2.802,0.148,24.34,2.082,0.454,0.658,45.5,29.536,44.964,230,1
801.413,119.909,215.1,215,220,225,2202.922,1717.107,2.694,0.146,24.34,2.054,0.454,0.656,45.7,29.347,44.943,230,1
801.413,119.909,215.1,215,220,225,2202.922,1717.107,2.694,0.146,24.34,2.054,0.454,0.656,45.7,29.347,44.943,230,1
801.598,119.909,215.3,215.1,220.1,225,2194.373,1717.107,3.208,0.146,24.356,2.088,0.452,0.656,45.7,29.775,44.969,229.8,0
801.598,119.909,215.3,215.1,220.1,225,2206.322,1712.736,2.89,0.146,24.34,2.052,0.454,0.656,45.9,29.413,44.979,229.8,1
801.598,119.909,215.3,215.1,220.1,225,2206.322,1712.736,2.89,0.146,24.34,2.052,0.454,0.656,45.9,29.413,44.979,229.8,1
801.229,119.909,214.6,215,220.1,225,2201.27,1724.102,2.87,0.146,24.34,2.076,0.454,0.652,46,29.51,44.943,229.8,1
801.229,119.909,214.6,215,220.1,225,2201.27,1724.102,2.87,0.146,24.34,2.076,0.454,0.652,46,29.51,44.943,229.8,1
801.413,119.909,215,214.8,220,225,2208.653,1713.61,2.856,0.152,24.34,2.06,0.454,0.656,46.2,29.5,44.943,229.8,1
801.782,119.909,215.1,214.8,219.8,225,2190.002,1710.307,3.342,0.15,24.354,2.038,0.454,0.654,46.4,29.092,44.943,229.8,1
801.782,119.909,215.1,214.8,219.8,225,2190.002,1710.307,3.342,0.15,24.354,2.038,0.454,0.654,46.4,29.092,44.943,229.8,0
801.782,119.909,215.3,215.1,220,225,2200.882,1723.713,3.518,0.154,24.34,2.078,0.454,0.656,46.5,29.332,44.989,229.8,1
801.782,119.909,215.3,215.1,220,225,2200.882,1723.713,3.518,0.154,24.34,2.078,0.454,0.656,46.5,29.332,44.989,229.8,1
801.229,119.909,215.1,215.1,220.1,225,2215.356,1710.113,2.832,0.152,24.34,2.066,0.454,0.656,46.5,29.398,44.994,229.8,1
801.782,119.909,214.6,215.1,220.1,225,2182.425,1720.313,3.074,0.15,24.364,2.078,0.452,0.658,46.7,29.551,44.984,229.8,1
801.782,119.909,214.6,215.1,220.1,225,2182.425,1720.313,3.074,0.15,24.364,2.078,0.452,0.658,46.7,29.551,44.984,229.8,0
801.966,119.909,214.8,215.1,220,225,2198.453,1700.399,3.38,0.146,24.338,2.088,0.452,0.656,46.7,29.872,44.943,229.8,1
801.966,119.909,214.8,215.1,220,225,2198.453,1700.399,3.38,0.146,24.338,2.088,0.452,0.656,46.7,29.872,44.943,229.8,1
801.598,119.909,215.3,215,219.8,225,2198.065,1685.342,2.834,0.146,24.378,2.08,0.452,0.658,47,30.112,44.974,229.8,1
801.598,119.909,215.3,215.1,219.8,225,2180.19,1688.062,3.068,0.154,24.338,2.05,0.452,0.656,47,29.801,44.979,229.8,1
801.598,119.909,215.3,215.1,219.8,225,2180.19,1688.062,3.068,0.154,24.338,2.05,0.452,0.656,47,29.801,44.979,229.8,1
801.966,119.909,215.1,215.1,220,224.8,2198.647,1731.193,3.32,0.146,24.34,2.036,0.454,0.656,47.2,29.312,44.959,229.8,0
801.966,119.909,215.1,215.1,220,224.8,2198.647,1731.193,3.32,0.146,24.34,2.036,0.454,0.656,47.2,29.312,44.959,229.8,1
801.598,119.909,215.1,215.1,220,224.8,2181.064,1732.165,3.208,0.152,24.338,2.058,0.452,0.656,47.5,29.322,44.974,230,1
801.598,119.909,215.1,215.1,220,224.8,2181.064,1732.165,3.208,0.152,24.338,2.058,0.452,0.656,47.5,29.322,44.974,230,1
801.782,119.909,215,215,220,224.8,2206.71,1705.256,3.004,0.152,24.34,2.078,0.454,0.656,47.5,29.546,44.969,229.8,1
801.966,119.909,215,214.8,219.8,225,2206.71,1700.01,3.284,0.15,24.342,2.072,0.454,0.656,47.7,29.719,44.984,229.8,0
801.966,119.909,215,214.8,219.8,225,2206.71,1700.01,3.284,0.15,24.342,2.072,0.454,0.656,47.7,29.719,44.984,229.8,1
801.782,119.909,215.1,215,220.1,225,2184.465,1696.513,2.794,0.146,24.338,2.064,0.452,0.656,47.7,29.735,44.948,229.8,1
801.782,119.909,215.1,215,220.1,225,2184.465,1696.513,2.794,0.146,24.338,2.064,0.452,0.656,47.7,29.735,44.948,229.8,1
801.782,119.909,214.8,215.1,220,225,2218.562,1699.525,2.79,0.146,24.34,2.09,0.454,0.658,47.9,30.147,44.984,229.8,0
801.782,119.909,215.1,215.1,220.1,225,2178.053,1705.839,2.704,0.146,24.338,2.034,0.452,0.656,47.9,29.622,44.948,229.8,1
801.782,119.909,215.1,215.1,220.1,225,2178.053,1705.839,2.704,0.146,24.338,2.034,0.452,0.656,47.9,29.622,44.948,229.8,1
801.598,119.909,215.1,215.1,220.1,225,2202.242,1708.753,2.612,0.146,24.354,2.074,0.454,0.656,48,29.796,44.984,229.8,1
801.598,119.909,215.1,215.1,220.1,225,2202.242,1708.753,2.612,0.146,24.354,2.074,0.454,0.656,48,29.796,44.984,229.8,0
801.966,119.909,215.1,214.8,220,225,2201.853,1696.416,3.162,0.148,24.386,2.054,0.454,0.656,48.2,29.735,44.959,229.8,1
801.966,119.909,215.1,214.8,220,225,2201.853,1696.416,3.162,0.148,24.386,2.054,0.454,0.656,48.2,29.735,44.959,229.8,1
801.782,119.909,215,215,220.1,225,2183.007,1701.953,3.298,0.15,24.336,2.074,0.45,0.656,48.2,29.893,44.999,229.8,1
801.782,119.909,215.1,215.1,220.1,225,2184.853,1692.53,3.096,0.152,24.338,2.094,0.452,0.658,48.2,30.372,44.979,229.8,1
801.782,119.909,215.1,215.1,220.1,225,2184.853,1692.53,3.096,0.152,24.338,2.094,0.452,0.658,48.2,30.372,44.979,229.8,1
802.335,119.909,214.8,215.1,220.1,225,2199.522,1695.93,3.35,0.152,24.338,2.058,0.452,0.654,48,30.198,44.969,229.8,1
802.335,119.909,214.8,215.1,220.1,225,2199.522,1695.93,3.35,0.152,24.338,2.058,0.452,0.654,48,30.198,44.969,229.8,1
801.782,119.909,214.8,215.1,220.1,225,2207.196,1689.616,3.024,0.152,24.34,2.054,0.454,0.654,48,29.954,44.953,229.8,0
801.782,119.909,214.8,214.8,220,225,2195.539,1702.245,2.762,0.15,24.338,2.054,0.452,0.658,47.7,29.796,44.989,229.8,1
